date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2017-01-24 03:15:00-05:00,LPL,LONG,2259.5,2284.5,2234.5,1387,London,Tuesday,3,2259.5,2017,1,WIN,2287.5,2017-01-25 11:30:00-05:00,28.0,1400.0,4.9,1395.1,124,33.25,0.0,True,1
2017-01-24 03:30:00-05:00,LPH,SHORT,2262.0,2237.0,2287.0,1388,London,Tuesday,3,2262.0,2017,1,LOSS,2287.25,2017-01-25 09:30:00-05:00,-25.25,-1262.5,4.9,-1267.4,115,2.5,25.25,False,1
2017-01-24 04:45:00-05:00,PMH,SHORT,2263.25,2238.25,2288.25,1393,London,Tuesday,4,2263.25,2017,1,LOSS,2288.5,2017-01-25 09:45:00-05:00,-25.25,-1262.5,4.9,-1267.4,111,3.0,25.25,False,1
2017-01-24 04:45:00-05:00,PML,LONG,2260.5,2285.5,2235.5,1393,London,Tuesday,4,2260.5,2017,1,WIN,2287.5,2017-01-25 11:30:00-05:00,27.0,1350.0,4.9,1345.1,118,32.25,0.25,True,1
2017-01-27 03:15:00-05:00,LPL,LONG,2292.0,2317.0,2267.0,1660,London,Friday,3,2292.0,2017,1,LOSS,2266.75,2017-01-30 10:00:00-05:00,-25.25,-1262.5,4.9,-1267.4,118,3.75,25.0,False,1
2017-01-27 03:30:00-05:00,LPH,SHORT,2296.75,2271.75,2321.75,1661,London,Friday,3,2296.75,2017,1,WIN,2272.25,2017-01-30 10:00:00-05:00,24.5,1225.0,4.9,1220.1,117,29.75,0.0,True,1
2017-01-27 04:45:00-05:00,PML,LONG,2292.0,2317.0,2267.0,1666,London,Friday,4,2292.0,2017,1,LOSS,2266.75,2017-01-30 10:00:00-05:00,-25.25,-1262.5,4.9,-1267.4,112,3.5,25.0,False,1
2017-01-27 05:15:00-05:00,PMH,SHORT,2294.5,2269.5,2319.5,1668,London,Friday,5,2294.5,2017,1,WIN,2272.25,2017-01-30 10:00:00-05:00,22.25,1112.5,4.9,1107.6,110,27.5,1.0,True,1
2017-02-02 03:15:00-05:00,LPH,SHORT,2267.25,2242.25,2292.25,2024,London,Thursday,3,2267.25,2017,2,LOSS,2292.5,2017-02-03 10:45:00-05:00,-25.25,-1262.5,4.9,-1267.4,121,2.0,25.5,False,1
2017-02-02 03:15:00-05:00,LPL,LONG,2264.5,2289.5,2239.5,2024,London,Thursday,3,2264.5,2017,2,WIN,2288.75,2017-02-05 19:00:00-05:00,24.25,1212.5,4.9,1207.6,149,29.5,0.0,True,1
2017-02-02 04:45:00-05:00,PML,LONG,2265.75,2290.75,2240.75,2030,London,Thursday,4,2265.75,2017,2,WIN,2288.75,2017-02-05 19:00:00-05:00,23.0,1150.0,4.9,1145.1,143,28.25,0.5,True,1
2017-02-02 05:15:00-05:00,PMH,SHORT,2267.25,2242.25,2292.25,2032,London,Thursday,5,2267.25,2017,2,LOSS,2292.5,2017-02-03 10:45:00-05:00,-25.25,-1262.5,4.9,-1267.4,113,1.25,25.5,False,1
2017-02-09 03:15:00-05:00,LPH,SHORT,2291.25,2266.25,2316.25,2479,London,Thursday,3,2291.25,2017,2,LOSS,2316.5,2017-02-12 21:15:00-05:00,-25.25,-1262.5,4.9,-1267.4,158,2.25,25.5,False,1
2017-02-09 04:45:00-05:00,PMH,SHORT,2291.5,2266.5,2316.5,2485,London,Thursday,4,2291.5,2017,2,LOSS,2316.75,2017-02-12 21:15:00-05:00,-25.25,-1262.5,4.9,-1267.4,152,1.5,25.25,False,1
2017-02-13 03:15:00-05:00,LPL,LONG,2313.5,2338.5,2288.5,2661,London,Monday,3,2313.5,2017,2,WIN,2334.75,2017-02-15 05:45:00-05:00,21.25,1062.5,4.9,1057.6,192,26.5,0.0,True,1
2017-02-13 05:15:00-05:00,PML,LONG,2314.5,2339.5,2289.5,2669,London,Monday,5,2314.5,2017,2,WIN,2334.75,2017-02-15 05:45:00-05:00,20.25,1012.5,4.9,1007.6,184,25.5,0.25,True,1
2017-02-14 03:15:00-05:00,LPH,SHORT,2325.0,2300.0,2350.0,2752,London,Tuesday,3,2325.0,2017,2,LOSS,2350.25,2017-02-15 16:00:00-05:00,-25.25,-1262.5,4.9,-1267.4,142,5.25,26.0,False,1
2017-02-14 03:15:00-05:00,LPL,LONG,2323.25,2348.25,2298.25,2752,London,Tuesday,3,2323.25,2017,2,WIN,2346.25,2017-02-16 04:45:00-05:00,23.0,1150.0,4.9,1145.1,189,28.25,3.5,True,1
2017-02-14 05:30:00-05:00,PMH,SHORT,2325.0,2300.0,2350.0,2761,London,Tuesday,5,2325.0,2017,2,LOSS,2350.25,2017-02-15 16:00:00-05:00,-25.25,-1262.5,4.9,-1267.4,133,5.25,26.0,False,1
2017-02-14 05:45:00-05:00,PML,LONG,2323.75,2348.75,2298.75,2762,London,Tuesday,5,2323.75,2017,2,WIN,2346.25,2017-02-16 04:45:00-05:00,22.5,1125.0,4.9,1120.1,179,27.75,4.0,True,1
2017-02-17 04:45:00-05:00,PML,LONG,2338.5,2363.5,2313.5,3032,London,Friday,4,2338.5,2017,2,WIN,2359.5,2017-02-21 11:15:00-05:00,21.0,1050.0,4.9,1045.1,193,26.25,2.0,True,1
2017-02-28 03:15:00-05:00,LPH,SHORT,2368.25,2343.25,2393.25,3648,London,Tuesday,3,2368.25,2017,2,LOSS,2393.5,2017-03-01 11:45:00-05:00,-25.25,-1262.5,4.9,-1267.4,126,10.75,25.75,False,1
2017-02-28 03:15:00-05:00,LPL,LONG,2365.75,2390.75,2340.75,3648,London,Tuesday,3,2365.75,2017,2,WIN,2393.0,2017-03-01 12:00:00-05:00,27.25,1362.5,4.9,1357.6,127,32.5,8.25,True,1
2017-02-28 04:45:00-05:00,PMH,SHORT,2368.5,2343.5,2393.5,3654,London,Tuesday,4,2368.5,2017,2,LOSS,2393.75,2017-03-01 11:45:00-05:00,-25.25,-1262.5,4.9,-1267.4,120,11.0,25.5,False,1
2017-02-28 05:30:00-05:00,PML,LONG,2366.75,2391.75,2341.75,3657,London,Tuesday,5,2366.75,2017,2,WIN,2393.0,2017-03-01 12:00:00-05:00,26.25,1312.5,4.9,1307.6,118,31.5,9.25,True,1
2017-03-01 03:15:00-05:00,LPH,SHORT,2368.75,2343.75,2393.75,3740,London,Wednesday,3,2368.75,2017,3,LOSS,2394.0,2017-03-01 11:45:00-05:00,-25.25,-1262.5,4.9,-1267.4,34,0.0,25.25,False,1
2017-03-01 03:15:00-05:00,LPL,LONG,2365.75,2390.75,2340.75,3740,London,Wednesday,3,2365.75,2017,3,WIN,2393.0,2017-03-01 12:00:00-05:00,27.25,1362.5,4.9,1357.6,35,32.5,0.0,True,1
2017-03-01 04:45:00-05:00,PML,LONG,2373.0,2398.0,2348.0,3746,London,Wednesday,4,2373.0,2017,3,WIN,2393.0,2017-03-01 12:00:00-05:00,20.0,1000.0,4.9,995.1,29,25.25,0.5,True,1
2017-03-01 05:15:00-05:00,PMH,SHORT,2374.5,2349.5,2399.5,3748,London,Wednesday,5,2374.5,2017,3,LOSS,2399.75,2017-03-01 14:15:00-05:00,-25.25,-1262.5,4.9,-1267.4,36,1.75,26.5,False,1
2017-03-02 03:15:00-05:00,LPH,SHORT,2393.75,2368.75,2418.75,3831,London,Thursday,3,2393.75,2017,3,WIN,2374.0,2017-03-06 04:30:00-05:00,19.75,987.5,4.9,982.6,187,25.0,0.5,True,1
2017-03-16 05:15:00-04:00,PMH,SHORT,2390.75,2365.75,2415.75,4749,London,Thursday,5,2390.75,2017,3,WIN,2370.75,2017-03-20 15:15:00-04:00,20.0,1000.0,4.9,995.1,193,25.25,0.0,True,1
2017-03-17 03:15:00-04:00,LPH,SHORT,2382.75,2357.75,2407.75,4832,London,Friday,3,2382.75,2017,3,WIN,2359.25,2017-03-21 10:45:00-04:00,23.5,1175.0,4.9,1170.1,183,28.75,3.0,True,1
2017-03-17 03:45:00-04:00,LPL,LONG,2379.25,2404.25,2354.25,4834,London,Friday,3,2379.25,2017,3,LOSS,2354.0,2017-03-21 10:45:00-04:00,-25.25,-1262.5,4.9,-1267.4,181,6.5,25.25,False,1
2017-03-17 04:45:00-04:00,PMH,SHORT,2381.0,2356.0,2406.0,4838,London,Friday,4,2381.0,2017,3,WIN,2359.25,2017-03-21 10:45:00-04:00,21.75,1087.5,4.9,1082.6,177,27.0,4.75,True,1
2017-03-17 05:15:00-04:00,PML,LONG,2379.25,2404.25,2354.25,4840,London,Friday,5,2379.25,2017,3,LOSS,2354.0,2017-03-21 10:45:00-04:00,-25.25,-1262.5,4.9,-1267.4,175,6.5,25.25,False,1
2017-03-20 03:15:00-04:00,LPH,SHORT,2371.25,2346.25,2396.25,4894,London,Monday,3,2371.25,2017,3,WIN,2349.75,2017-03-21 11:30:00-04:00,21.5,1075.0,4.9,1070.1,124,26.75,7.5,True,1
2017-03-20 03:15:00-04:00,LPL,LONG,2369.0,2394.0,2344.0,4894,London,Monday,3,2369.0,2017,3,LOSS,2343.75,2017-03-21 13:15:00-04:00,-25.25,-1262.5,4.9,-1267.4,131,9.75,25.5,False,1
2017-03-20 05:00:00-04:00,PML,LONG,2370.75,2395.75,2345.75,4901,London,Monday,5,2370.75,2017,3,LOSS,2345.5,2017-03-21 11:30:00-04:00,-25.25,-1262.5,4.9,-1267.4,117,8.0,26.25,False,1
2017-03-20 05:15:00-04:00,PMH,SHORT,2373.25,2348.25,2398.25,4902,London,Monday,5,2373.25,2017,3,WIN,2352.75,2017-03-21 11:15:00-04:00,20.5,1025.0,4.9,1020.1,115,25.75,5.5,True,1
2017-03-21 03:15:00-04:00,LPL,LONG,2373.25,2398.25,2348.25,4985,London,Tuesday,3,2373.25,2017,3,LOSS,2348.0,2017-03-21 11:15:00-04:00,-25.25,-1262.5,4.9,-1267.4,32,5.5,25.75,False,1
2017-03-21 04:45:00-04:00,PML,LONG,2374.0,2399.0,2349.0,4991,London,Tuesday,4,2374.0,2017,3,LOSS,2348.75,2017-03-21 11:15:00-04:00,-25.25,-1262.5,4.9,-1267.4,26,4.75,26.5,False,1
2017-03-21 05:15:00-04:00,PMH,SHORT,2375.75,2350.75,2400.75,4993,London,Tuesday,5,2375.75,2017,3,WIN,2352.75,2017-03-21 11:15:00-04:00,23.0,1150.0,4.9,1145.1,24,28.25,3.0,True,1
2017-03-23 03:15:00-04:00,LPH,SHORT,2348.75,2323.75,2373.75,5167,London,Thursday,3,2348.75,2017,3,WIN,2323.0,2017-03-27 02:30:00-04:00,25.75,1287.5,4.9,1282.6,179,31.0,7.25,True,1
