date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2012-01-17 15:15:00-05:00,PDL,LONG,1281.25,1306.25,1256.25,937,NY,Tuesday,15,1281.25,2012,1,WIN,1302.25,2012-01-18 23:00:00-05:00,21.0,420.0,6.0,414.0,121,26.25,0.0,True,4
2012-02-16 03:15:00-05:00,LPL,LONG,1334.25,1359.25,1309.25,2926,London,Thursday,3,1334.25,2012,2,WIN,1356.0,2012-02-17 10:45:00-05:00,21.75,435.0,6.0,429.0,123,27.0,0.0,True,4
2012-02-16 03:30:00-05:00,LPH,SHORT,1338.25,1313.25,1363.25,2927,London,Thursday,3,1338.25,2012,2,LOSS,1363.5,2012-02-19 18:00:00-05:00,-25.25,-505.0,6.0,-511.0,144,3.75,31.25,False,4
2012-02-16 04:45:00-05:00,PMH,SHORT,1338.5,1313.5,1363.5,2932,London,Thursday,4,1338.5,2012,2,LOSS,1363.75,2012-02-19 18:00:00-05:00,-25.25,-505.0,6.0,-511.0,139,4.0,31.0,False,4
2012-02-16 05:15:00-05:00,PML,LONG,1336.0,1361.0,1311.0,2934,London,Thursday,5,1336.0,2012,2,WIN,1356.0,2012-02-17 10:45:00-05:00,20.0,400.0,6.0,394.0,115,25.25,1.5,True,4
2012-03-02 05:45:00-05:00,PML,LONG,1371.0,1396.0,1346.0,3929,London,Friday,5,1371.0,2012,3,LOSS,1345.75,2012-03-06 09:45:00-05:00,-25.25,-505.0,6.0,-511.0,198,2.25,25.75,False,4
2012-03-05 03:15:00-05:00,LPH,SHORT,1366.25,1341.25,1391.25,4008,London,Monday,3,1366.25,2012,3,WIN,1343.75,2012-03-06 15:45:00-05:00,22.5,450.0,6.0,444.0,143,27.75,1.0,True,4
2012-03-05 03:15:00-05:00,LPL,LONG,1363.75,1388.75,1338.75,4008,London,Monday,3,1363.75,2012,3,LOSS,1338.5,2012-03-06 14:30:00-05:00,-25.25,-505.0,6.0,-511.0,138,3.5,25.25,False,4
2012-03-12 03:15:00-04:00,LPH,SHORT,1369.25,1344.25,1394.25,4469,London,Monday,3,1369.25,2012,3,LOSS,1394.5,2012-03-13 15:30:00-04:00,-25.25,-505.0,6.0,-511.0,142,3.25,25.75,False,4
2012-03-12 03:15:00-04:00,LPL,LONG,1366.5,1391.5,1341.5,4469,London,Monday,3,1366.5,2012,3,WIN,1391.75,2012-03-13 16:30:00-04:00,25.25,505.0,6.0,499.0,145,30.5,0.5,True,4
2012-03-12 04:45:00-04:00,PMH,SHORT,1369.75,1344.75,1394.75,4475,London,Monday,4,1369.75,2012,3,LOSS,1395.0,2012-03-13 15:30:00-04:00,-25.25,-505.0,6.0,-511.0,136,3.75,25.25,False,4
2012-03-12 04:45:00-04:00,PML,LONG,1367.0,1392.0,1342.0,4475,London,Monday,4,1367.0,2012,3,WIN,1391.75,2012-03-13 16:30:00-04:00,24.75,495.0,6.0,489.0,139,30.0,1.0,True,4
2012-03-23 03:15:00-04:00,LPH,SHORT,1391.75,1366.75,1416.75,5276,London,Friday,3,1391.75,2012,3,LOSS,1417.0,2012-03-26 22:00:00-04:00,-25.25,-505.0,6.0,-511.0,161,11.25,25.0,False,4
2012-03-23 03:30:00-04:00,LPL,LONG,1389.25,1414.25,1364.25,5277,London,Friday,3,1389.25,2012,3,WIN,1414.5,2012-03-27 06:00:00-04:00,25.25,505.0,6.0,499.0,192,30.5,8.75,True,4
