date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,breakeven_hit,trailing_active,contracts
2019-06-03 03:15:00-04:00,LPL,LONG,2735.0,2760.0,2710.0,37,London,Monday,3,2735.0,2019,6,WIN,2758.75,2019-06-03 10:30:00-04:00,23.75,475.0,29,28.75,3.75,False,True,4
2019-06-03 04:15:00-04:00,LPH,SHORT,2742.75,2717.75,2767.75,41,London,Monday,4,2742.75,2019,6,LOSS,2767.75,2019-06-04 07:45:00-04:00,-25.0,-500.0,105,14.0,26.5,False,False,4
2019-06-03 04:45:00-04:00,PML,LONG,2735.25,2760.25,2710.25,43,London,Monday,4,2735.25,2019,6,WIN,2758.75,2019-06-03 10:30:00-04:00,23.5,470.0,23,28.5,0.0,False,True,4
2019-06-03 10:30:00-04:00,PMH,SHORT,2752.0,2727.0,2777.0,66,NY,Monday,10,2752.0,2019,6,LOSS,2777.0,2019-06-04 10:15:00-04:00,-25.0,-500.0,90,23.25,28.5,False,False,4
2019-06-04 03:15:00-04:00,LPH,SHORT,2753.5,2728.5,2778.5,128,London,Tuesday,3,2753.5,2019,6,LOSS,2778.5,2019-06-04 10:15:00-04:00,-25.0,-500.0,28,0.0,27.0,False,False,4
2019-06-04 03:30:00-04:00,PDH,SHORT,2763.75,2738.75,2788.75,129,London,Tuesday,3,2763.75,2019,6,LOSS,2788.75,2019-06-04 11:15:00-04:00,-25.0,-500.0,31,7.25,25.25,False,False,4
2019-06-04 04:45:00-04:00,PMH,SHORT,2762.25,2737.25,2787.25,134,London,Tuesday,4,2762.25,2019,6,LOSS,2787.25,2019-06-04 11:15:00-04:00,-25.0,-500.0,26,4.0,26.75,False,False,4
2019-06-05 03:15:00-04:00,LPH,SHORT,2812.5,2787.5,2837.5,219,London,Wednesday,3,2812.5,2019,6,LOSS,2837.5,2019-06-06 05:30:00-04:00,-25.0,-500.0,100,11.75,25.5,False,False,4
2019-06-05 03:15:00-04:00,LPL,LONG,2806.25,2831.25,2781.25,219,London,Wednesday,3,2806.25,2019,6,WIN,2828.5,2019-06-06 03:15:00-04:00,22.25,445.0,91,27.25,5.5,False,True,4
2019-06-05 04:45:00-04:00,PMH,SHORT,2816.25,2791.25,2841.25,225,London,Wednesday,4,2816.25,2019,6,LOSS,2841.25,2019-06-06 14:30:00-04:00,-25.0,-500.0,130,15.5,27.5,False,False,4
2019-06-05 09:45:00-04:00,PML,LONG,2810.5,2835.5,2785.5,245,NY,Wednesday,9,2810.5,2019,6,WIN,2833.0,2019-06-06 07:45:00-04:00,22.5,450.0,83,27.5,9.75,False,True,4
2019-06-06 03:15:00-04:00,LPH,SHORT,2827.5,2802.5,2852.5,310,London,Thursday,3,2827.5,2019,6,LOSS,2852.5,2019-06-06 15:30:00-04:00,-25.0,-500.0,49,4.25,25.75,False,False,4
2019-06-06 04:45:00-04:00,PMH,SHORT,2836.5,2811.5,2861.5,316,London,Thursday,4,2836.5,2019,6,LOSS,2861.5,2019-06-07 09:30:00-04:00,-25.0,-500.0,110,13.25,30.75,False,False,4
2019-06-06 09:45:00-04:00,PML,LONG,2827.25,2852.25,2802.25,336,NY,Thursday,9,2827.25,2019,6,WIN,2848.25,2019-06-06 15:30:00-04:00,21.0,420.0,23,26.0,4.0,False,True,4
