date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2019-06-03 03:30:00-04:00,LPL,LONG,7069.5,7104.5,7019.5,38,London,Monday,3,7069.5,2019,6,WIN,7102.0,2019-06-03 06:00:00-04:00,32.5,260.0,6.0,254.0,10,37.5,2.25,True,4
2019-06-03 05:00:00-04:00,PMH,SHORT,7098.25,7063.25,7148.25,44,London,Monday,5,7098.25,2019,6,WIN,7057.0,2019-06-03 09:45:00-04:00,41.25,330.0,6.0,324.0,19,46.25,34.25,True,4
2019-06-03 09:45:00-04:00,PML,LONG,7073.25,7108.25,7023.25,63,NY,Monday,9,7073.25,2019,6,LOSS,7023.25,2019-06-03 12:00:00-04:00,-50.0,-400.0,6.0,-406.0,9,22.75,50.5,False,4
2019-06-03 11:00:00-04:00,LPH,SHORT,7099.25,7064.25,7149.25,68,NY,Monday,11,7099.25,2019,6,WIN,7060.5,2019-06-03 11:45:00-04:00,38.75,310.0,6.0,304.0,3,43.75,0.0,True,4
2019-06-04 03:15:00-04:00,LPH,SHORT,7004.25,6969.25,7054.25,128,London,Tuesday,3,7004.25,2019,6,LOSS,7054.25,2019-06-04 08:30:00-04:00,-50.0,-400.0,6.0,-406.0,21,0.0,51.0,False,4
2019-06-04 04:45:00-04:00,PMH,SHORT,7034.0,6999.0,7084.0,134,London,Tuesday,4,7034.0,2019,6,LOSS,7084.0,2019-06-04 10:15:00-04:00,-50.0,-400.0,6.0,-406.0,22,17.0,58.25,False,4
2019-06-04 05:30:00-04:00,PML,LONG,7018.0,7053.0,6968.0,137,London,Tuesday,5,7018.0,2019,6,WIN,7050.25,2019-06-04 08:30:00-04:00,32.25,258.0,6.0,252.0,12,37.25,1.0,True,4
2019-06-04 11:15:00-04:00,PDH,SHORT,7132.5,7097.5,7182.5,160,NY,Tuesday,11,7132.5,2019,6,LOSS,7182.5,2019-06-04 16:00:00-04:00,-50.0,-400.0,6.0,-406.0,19,19.75,50.5,False,4
2019-06-05 03:45:00-04:00,LPH,SHORT,7209.0,7174.0,7259.0,221,London,Wednesday,3,7209.0,2019,6,WIN,7177.75,2019-06-05 10:15:00-04:00,31.25,250.0,6.0,244.0,26,36.25,36.25,True,4
2019-06-05 03:45:00-04:00,PDH,SHORT,7220.5,7185.5,7270.5,221,London,Wednesday,3,7220.5,2019,6,WIN,7177.75,2019-06-05 10:15:00-04:00,42.75,342.0,6.0,336.0,26,47.75,24.75,True,4
2019-06-05 04:45:00-04:00,PMH,SHORT,7218.0,7183.0,7268.0,225,London,Wednesday,4,7218.0,2019,6,WIN,7177.75,2019-06-05 10:15:00-04:00,40.25,322.0,6.0,316.0,22,45.25,27.25,True,4
2019-06-05 09:45:00-04:00,PML,LONG,7202.75,7237.75,7152.75,245,NY,Wednesday,9,7202.75,2019,6,LOSS,7152.75,2019-06-05 10:45:00-04:00,-50.0,-400.0,6.0,-406.0,4,20.25,52.75,False,4
2019-06-05 09:45:00-04:00,LPL,LONG,7182.5,7217.5,7132.5,245,NY,Wednesday,9,7182.5,2019,6,WIN,7218.0,2019-06-05 10:00:00-04:00,35.5,284.0,6.0,278.0,1,40.5,0.0,True,4
2019-06-06 03:15:00-04:00,LPH,SHORT,7233.75,7198.75,7283.75,310,London,Thursday,3,7233.75,2019,6,LOSS,7283.75,2019-06-06 15:15:00-04:00,-50.0,-400.0,6.0,-406.0,48,29.5,51.0,False,4
2019-06-06 03:15:00-04:00,PDH,SHORT,7245.25,7210.25,7295.25,310,London,Thursday,3,7245.25,2019,6,WIN,7215.25,2019-06-06 09:45:00-04:00,30.0,240.0,6.0,234.0,26,35.0,18.75,True,4
2019-06-06 04:45:00-04:00,PMH,SHORT,7256.25,7221.25,7306.25,316,London,Thursday,4,7256.25,2019,6,WIN,7224.0,2019-06-06 09:30:00-04:00,32.25,258.0,6.0,252.0,19,37.25,7.75,True,4
2019-06-06 05:00:00-04:00,PML,LONG,7248.75,7283.75,7198.75,317,London,Thursday,5,7248.75,2019,6,WIN,7279.75,2019-06-06 15:15:00-04:00,31.0,248.0,6.0,242.0,41,36.0,44.5,True,4
2019-06-06 09:45:00-04:00,LPL,LONG,7209.75,7244.75,7159.75,336,NY,Thursday,9,7209.75,2019,6,WIN,7244.25,2019-06-06 11:15:00-04:00,34.5,276.0,6.0,270.0,6,39.5,5.5,True,4
2019-06-07 03:15:00-04:00,LPH,SHORT,7292.75,7257.75,7342.75,401,London,Friday,3,7292.75,2019,6,LOSS,7342.75,2019-06-07 09:30:00-04:00,-50.0,-400.0,6.0,-406.0,25,6.75,74.25,False,4
2019-06-07 05:00:00-04:00,PMH,SHORT,7311.75,7276.75,7361.75,408,London,Friday,5,7311.75,2019,6,LOSS,7361.75,2019-06-07 09:30:00-04:00,-50.0,-400.0,6.0,-406.0,18,25.75,55.25,False,4
2019-06-07 05:15:00-04:00,PML,LONG,7306.25,7341.25,7256.25,409,London,Friday,5,7306.25,2019,6,WIN,7362.0,2019-06-07 09:30:00-04:00,55.75,446.0,6.0,440.0,17,60.75,20.25,True,4
