date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2019-06-03 03:30:00-04:00,LPL,LONG,7069.5,7119.5,7019.5,38,London,Monday,3,7069.5,2019,6,WIN,7127.5,2019-06-03 09:30:00-04:00,58.0,464.0,6.0,458.0,24,63.0,2.25,True,4
2019-06-03 05:00:00-04:00,PMH,SHORT,7098.25,7048.25,7148.25,44,London,Monday,5,7098.25,2019,6,WIN,7033.75,2019-06-03 10:00:00-04:00,64.5,516.0,6.0,510.0,20,69.5,34.25,True,4
2019-06-03 09:45:00-04:00,PML,LONG,7073.25,7123.25,7023.25,63,NY,Monday,9,7073.25,2019,6,LOSS,7023.25,2019-06-03 12:00:00-04:00,-50.0,-400.0,6.0,-406.0,9,22.75,50.5,False,4
2019-06-03 11:00:00-04:00,LPH,SHORT,7099.25,7049.25,7149.25,68,NY,Monday,11,7099.25,2019,6,WIN,7027.75,2019-06-03 12:00:00-04:00,71.5,572.0,6.0,566.0,4,76.5,0.0,True,4
2019-06-04 03:15:00-04:00,LPH,SHORT,7004.25,6954.25,7054.25,128,London,Tuesday,3,7004.25,2019,6,LOSS,7054.25,2019-06-04 08:30:00-04:00,-50.0,-400.0,6.0,-406.0,21,0.0,51.0,False,4
2019-06-04 04:45:00-04:00,PMH,SHORT,7034.0,6984.0,7084.0,134,London,Tuesday,4,7034.0,2019,6,LOSS,7084.0,2019-06-04 10:15:00-04:00,-50.0,-400.0,6.0,-406.0,22,17.0,58.25,False,4
2019-06-04 05:30:00-04:00,PML,LONG,7018.0,7068.0,6968.0,137,London,Tuesday,5,7018.0,2019,6,WIN,7087.25,2019-06-04 10:15:00-04:00,69.25,554.0,6.0,548.0,19,74.25,1.0,True,4
2019-06-04 11:15:00-04:00,PDH,SHORT,7132.5,7082.5,7182.5,160,NY,Tuesday,11,7132.5,2019,6,LOSS,7182.5,2019-06-04 16:00:00-04:00,-50.0,-400.0,6.0,-406.0,19,19.75,50.5,False,4
2019-06-05 03:45:00-04:00,LPH,SHORT,7209.0,7159.0,7259.0,221,London,Wednesday,3,7209.0,2019,6,WIN,7155.0,2019-06-05 10:45:00-04:00,54.0,432.0,6.0,426.0,28,59.0,36.25,True,4
2019-06-05 03:45:00-04:00,PDH,SHORT,7220.5,7170.5,7270.5,221,London,Wednesday,3,7220.5,2019,6,WIN,7165.25,2019-06-05 10:30:00-04:00,55.25,442.0,6.0,436.0,27,60.25,24.75,True,4
