date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2017-01-03 04:15:00-05:00,LPL,LONG,4890.5,4940.5,4840.5,41,London,Tuesday,4,4890.5,2017,1,WIN,4937.0,2017-01-04 14:45:00-05:00,46.5,930.0,4.9,925.1,133,52.0,9.5,True,1
2017-01-03 05:15:00-05:00,PMH,SHORT,4898.5,4848.5,4948.5,45,London,Tuesday,5,4898.5,2017,1,LOSS,4949.0,2017-01-05 09:30:00-05:00,-50.5,-1010.0,4.9,-1014.9,199,17.5,55.0,False,1
2017-01-03 11:30:00-05:00,PDL,LONG,4876.75,4926.75,4826.75,70,NY,Tuesday,11,4876.75,2017,1,WIN,4928.25,2017-01-04 09:30:00-05:00,51.5,1030.0,4.9,1025.1,83,57.0,0.0,True,1
2017-01-04 03:45:00-05:00,LPL,LONG,4910.75,4960.75,4860.75,130,London,Wednesday,3,4910.75,2017,1,WIN,4957.0,2017-01-05 15:15:00-05:00,46.25,925.0,4.9,920.1,137,51.75,1.25,True,1
2017-01-04 04:45:00-05:00,PMH,SHORT,4915.5,4865.5,4965.5,134,London,Wednesday,4,4915.5,2017,1,LOSS,4966.0,2017-01-06 07:00:00-05:00,-50.5,-1010.0,4.9,-1014.9,191,6.0,50.75,False,1
2017-01-04 05:30:00-05:00,PML,LONG,4912.75,4962.75,4862.75,137,London,Wednesday,5,4912.75,2017,1,WIN,4958.75,2017-01-05 16:00:00-05:00,46.0,920.0,4.9,915.1,133,51.5,3.25,True,1
2017-01-05 03:15:00-05:00,LPH,SHORT,4932.75,4882.75,4982.75,219,London,Thursday,3,4932.75,2017,1,LOSS,4983.25,2017-01-06 10:00:00-05:00,-50.5,-1010.0,4.9,-1014.9,118,12.25,50.0,False,1
2017-01-05 03:15:00-05:00,LPL,LONG,4922.5,4972.5,4872.5,219,London,Thursday,3,4922.5,2017,1,WIN,4972.5,2017-01-06 09:45:00-05:00,50.0,1000.0,4.9,995.1,117,55.5,2.0,True,1
2017-01-05 04:45:00-05:00,PMH,SHORT,4933.25,4883.25,4983.25,225,London,Thursday,4,4933.25,2017,1,LOSS,4983.75,2017-01-06 10:45:00-05:00,-50.5,-1010.0,4.9,-1014.9,115,12.75,56.25,False,1
2017-01-05 05:15:00-05:00,PML,LONG,4925.25,4975.25,4875.25,227,London,Thursday,5,4925.25,2017,1,WIN,4972.5,2017-01-06 09:45:00-05:00,47.25,945.0,4.9,940.1,109,52.75,4.75,True,1
