date,level,direction,entry,tp,sl,bar_idx,session,day_of_week,hour,level_price,year,month,outcome,exit_price,exit_time,pnl_pts,pnl_usd_gross,fees_usd,pnl_usd,bars_held,max_favorable_excursion,max_adverse_excursion,trailing_active,contracts
2019-01-02 03:15:00-05:00,LPH,SHORT,146.1875,145.6875,146.6875,37,London,Wednesday,3,146.1875,2019,1,LOSS,146.6875,2019-01-02 04:45:00-05:00,-0.5,-1000.0,7.0,-1007.0,6,0.0,0.5,False,2
2019-01-02 04:45:00-05:00,PMH,SHORT,146.6875,146.1875,147.1875,43,London,Wednesday,4,146.6875,2019,1,WIN,145.76875,2019-01-02 11:45:00-05:00,0.9187499999999886,1837.4999999999773,7.0,1830.4999999999773,28,0.96875,0.15625,True,2
2019-01-02 12:30:00-05:00,PML,LONG,146.5,147.0,146.0,74,NY,Wednesday,12,146.5,2019,1,LOSS,146.0,2019-01-02 14:00:00-05:00,-0.5,-1000.0,7.0,-1007.0,6,0.1875,0.65625,False,2
2019-01-03 03:15:00-05:00,LPL,LONG,147.25,147.75,146.75,129,London,Thursday,3,147.25,2019,1,WIN,147.79375,2019-01-03 10:00:00-05:00,0.5437499999999886,1087.4999999999773,7.0,1080.4999999999773,27,0.59375,0.34375,True,2
2019-01-03 04:45:00-05:00,PML,LONG,147.1875,147.6875,146.6875,135,London,Thursday,4,147.1875,2019,1,WIN,147.79375,2019-01-03 10:00:00-05:00,0.6062499999999886,1212.4999999999773,7.0,1205.4999999999773,21,0.65625,0.28125,True,2
2019-01-03 05:00:00-05:00,PMH,SHORT,147.34375,146.84375,147.84375,136,London,Thursday,5,147.34375,2019,1,LOSS,147.84375,2019-01-03 10:00:00-05:00,-0.5,-1000.0,7.0,-1007.0,20,0.4375,0.5,False,2
2019-01-04 03:15:00-05:00,LPL,LONG,148.1875,148.6875,147.6875,221,London,Friday,3,148.1875,2019,1,LOSS,147.6875,2019-01-04 07:15:00-05:00,-0.5,-1000.0,7.0,-1007.0,16,0.0,0.53125,False,2
2019-01-04 05:00:00-05:00,PML,LONG,147.8125,148.3125,147.3125,228,London,Friday,5,147.8125,2019,1,LOSS,147.3125,2019-01-04 07:45:00-05:00,-0.5,-1000.0,7.0,-1007.0,11,0.09375,0.96875,False,2
2019-01-04 05:30:00-05:00,PMH,SHORT,147.9375,147.4375,148.4375,230,London,Friday,5,147.9375,2019,1,WIN,146.89375,2019-01-04 07:45:00-05:00,1.0437499999999886,2087.4999999999773,7.0,2080.4999999999773,9,1.09375,0.0,True,2
2019-01-07 03:15:00-05:00,LPH,SHORT,146.96875,146.46875,147.46875,313,London,Monday,3,146.96875,2019,1,LOSS,147.46875,2019-01-07 04:30:00-05:00,-0.5,-1000.0,7.0,-1007.0,5,0.0,0.53125,False,2
